  Year  Digital  Title
  2019      YES  big data and its supporting elements implications for tourism and hospitality marketing
  2013       no  the effect of social media utilization on holiday decisions of tourists a study on academic staff sosyal medya kullaniminin turistlerin tatil kararlarina etkisi akademik personel uzerinde bir uygulama
  2019       no  contribution of tourism to economy in european union and turkey
  2020       no  isgorenlerin orgutsel dislanma algilarinin orgutsel sessizlik ve olumsuz durumlari bildirme egilimlerine etkisi otel isletmeleri ornegi
  2019       no  turkiye de seyahat acentelerinde halkla iliskiler araci olarak sosyal medyanin kullanimi
  2020       no  small sized tourism projects in rural areas the compounding effects on societal wellbeing
  2019       no  konaklama isletmelerinde peyzaj duzenlemelerinin onemi
  2015       no  gaining competitive advantage in tourism marketing a text mining approach to hotel visitors comments in durres
  2005       no  mardin iline gelen yerli turistlerin profil ve turistik davranişlarini belirlemeye yonelik bir araştirma a research to determine the touristic behaviours and profiles of domestic tourists arriving to the mardin province
  2019       no  stajyerler seyahat isletmesi sahipleri ve yoneticileri bakis acisiyla
  2017       no  the ecotourism perception of graduate and postgraduate tourism students for antalya destination
  2010       no  onion a food spice and remedy in the middle eastern gastronomy
  2010       no  tatil yeri kararinin verilmesinde karar agaci ve etki diyagraminin uygulanmasi
  2020       no  hospitality brands what do consumers want
  2020       no  the relationship between sustainable economic development and tourism in turkey panel data analysis
  2019       no  legal changes in turkish labor law reflected on tourism workers
  2011       no  utilization of natural and cultural resources of dikili izmir for tourism
  2010       no  marketing of turkey as a tourism destination
  2020       no  otel isletmesi calisanlarinda is stresinin isten ayrilma niyetine etkisinde gorev yapilan departmanin moderator rolu
  2020       no  the impact of tourism on co2 emission in turkey
  2013       no  polonyali hotel lambert ve buyuk sirbistan naaœertanije plani 1840 1844
  2002       no  two dimensional inversion of magnetotelluric data with cg and svd a comparisonal study of different stabilizers
  2017       no  turistik destinasyonlarda pazarlama kararlarinin marka konumlandirma acisindan degerlendirilmesi cesme ilcesine yonelik bir alan arastirmasi
  2021       no  systematic review of meta analysis studies in the tourism and hospitality literature
  2006       no  urban tourism an analysis of visitors to istanbul
  2006       no  urban tourism an analysis of visitors to istanbul
  2016       no  a research on effectiveness of web sites in announcing corporate social responsibility activities of chain and group hotels the case of turkey
  2020       no  perceived value and its impact on travel outcomes in youth tourism
  2021       no  the impact of covid 19 on the rural second home tourism case of eastern black sea region turkey
  2012       no  the levels of using strategic management tools and satisfaction with them a case of five star hotels in turkey
  2020       no  a conceptual review of last chance tourism the case of turkey
  2020       no  genc turistlerin destinasyon tercihleri ve tavsiye etme niyetlerinin incelenmesi istanbul ornegi
  2019       no  wellness and tourism mind body spirit place
  1996       no  resident attitudes toward tourism impacts
  1999       no  uc dort ve bes yildizli otellerin sanitasyon durumunun haccp yontemi ile degerlendirilmesi
  2015       no  turizm ogrencilerinin sendika algisi universite ogrencileri uzerine bir arastirma
  2005       no  leisure during war the case of gallipoli the dardanelles war of 1915 in wwi
  2020       no  a conceptual study of the strategic role of gastronomy in tourism destinations
  2020       no  a conceptual study of the strategic role of gastronomy in tourism destinations
  2015       no  rapid emergency medicine score and hotel score in geriatric patients admitted to the emergency department
  2016       no  mersin aydincik ilcesi ve cevresinin kultur turizmi potansiyeli acisindan değerlendirilmesi
  2021       no  marketing tourism and hotel management schools in the context of higher education globalization and student mobility through improved curriculum and industrial training offerings
  2008       no  intellectual capital in metropolitan hotels
  2021       no  tourist experiences of guided culinary tours the case of istanbul
  2018       no  identifying and assessing environmental awareness of hotel and restaurant employees attitudes in the amasra district of bartin
  2011       no  organizational commitment in hotel businesses an analysis of the differences in terms of demographic variables
  2016       no  tourism in national capitals and global change
  2019       no  exploring the impact of tourist harassment on destination image tourist expenditure and destination loyalty
  2010       no  approaches in investigating romania s image as a tourist destination among the turkish students
  2016       no  the role of social media on leisure preferences a research on the participants of outdoor recreation activities
  2019       no  the influence of corporate social responsibility in hospitality establishments on students level of commitment and intention to recommend
  2014       no  hybrid structures in tourism industry innovative models sociological insights and multilevel approaches
  2010       no  modeling above ground litterfall in eastern mediterranean conifer forests using fractional tree cover and remotely sensed and ground data
  2012       no  cultural tourism in turkey a missed opportunity
  2019       no  strategic planning of tourism with an emphasis on spirituality based on new integration of multi criteria decision making techniques
  2015       no  uygulamada menu analizi nasil yapilmaktadir bes yildizli otellerin mutfak şeflerinin gorusleri
  2013       no  sosyotropik otonomik kisilik ozelliklerinin calisanlarin motivasyonuna etkisi ankara da bulunan konaklama isletmelerinde yapilan bir arastirma
  2018       no  the impact of tourism on the cultural environment in turkey the case of antalya
  2021       no  we always open our doors for visitors hospitality as homemaking strategy for refugee women in istanbul
  2021       no  turkiye de kis turizmine yonelik yapilan calismalar uzerine bir meta analizi
  2021      YES  the integration of the blockchain technology into wine tourism
  2014       no  organic tourism as a tool to raise healthy tourism destinations an investigation in turkey
  2021       no  impact of the covid 19 pandemic on management level hotel employees work behaviors moderating effects of working from home
  2017       no  coping with rm challenges in hospitality education
  2015       no  sakarya destinasyonunun imaj algisina yonelik bir arastirma
  2021       no  turizm sosyolojisine iliskin yeni gelismeler
  2012       no  fault zone conductors in northwest turkey inferred from audio frequency magnetotellurics
  2016       no  listing a geological rarity of stone balls in kysuce among world geotourism destinations
  2007       no  rankings of tourism and hospitality departments a case of turkey
  2016       no  arazi kullanimi planlamasi yonunden karpaz yarimadasi nin turizm alanlari an assesment of in terms of land use planning in the karpaz peninsula tourism areas
  2020       no  ayvalik an as art route for tourism guides within the frame of art tourism
  2017       no  an overview of franchising in the hospitality industry of turkey
  2017       no  an overview of franchising in the hospitality industry of turkey
  2015       no  perceptions of tourism students on thermal tourism in afyonkarahisar
  2015       no  crustal structure at the vicinity of nigde massif and central anatolian fault zone from magnetotelluric data
  2007       no  long distance air travel a potential new risk factor for cerebral sinus thrombosis
  2020       no  detection of beta lactamase production in clinical prevotella species by maldi tof ms method
  2019       no  effects of brand personality self congruity and functional congruity on hotel brand loyalty
  2015       no  biyotelemetri ve balikcilikta kullanimi biotelemetry and usage in fishing
  2005       no  kolo rektal kanserlerde vaskuler endotelial buyume faktoru vebf ekspresyonunun prognoz uzerine etkisi
  2017       no  an undervalued department or a terra incognita hotel housekeeping from the perspectives of executive housekeepers and room attendants
  2021       no  consumer complaining behavior in hospitality management
  2004       no  edremit kucukkuyu arasindaki turizm faaliyetlerinin kiyi alanlarina etkisi ve onerilen yonetim programi
  2021       no  review of the studies related to covid 19 and tourism using text mining techniques
  2016       no  leisure entertainment and sports at 1960 1980 period in turkey
  2017       no  kureselleşmenin turizm pazarlama karmasi elemanlari uzerindeki etkileri
  2016       no  an evaluation of ecotourism potentials of rumkale archaeological region
  2020       no  halal tourism definitional conceptual and practical ambiguities
  2007       no  shopping risk perceptions effects on tourists emotions satisfaction and expressed loyalty intentions
  2018      YES  an analysis of travelling salesman problem utilizing hill climbing algorithm for a smart city touristic search on openstreetmap osm
  2013       no  cox 1 enzimi ve endotel disfonksiyon arasindaki iliski
  2012       no  conflict and agreement in stakeholder attitudes residents and hotel managers views of tourism impacts and forest related tourism development
  2020       no  medical tourism market and inter stakeholders relations in turkey a comparative investigation from reverse innovation and destination governance viewpoint
  2016       no  medical tourism market and inter stakeholders relations in turkey a comparative investigation from reverse innovation and destination governance viewpoint
  2016       no  1930 lu yillarda turkiye bulgaristan arasinda sosyo kulturel ve egitim amacli seyahatler
  2015       no  the effects of perceived risk and cost on technology acceptance a study on tourists use of online booking
  1989       no  the relationship between coastal tourism sea pollution and public health a case study from turkey
  2018       no  kackar daginda buzul şekilleri yaylalar ve turizm
  2021       no  shedding light upon the shadows exploring the link between country destination image and dark tourism
  2015       no  gibrat orantili etki yasasinin borsa istanbul turizm şirketleri uzerinde sinanmasi
  2018       no  an assessment of the impact of employee satisfaction on customer satisfaction in hotel enterprises
  2011       no  the simultaneous effects of person organization and person job fit on turkish hotel managers
  2020       no  innovation management in the tourism industry a literature review
  2017       no  a case study assessing thermal activity at a significant geotourism locality of ema coal tailing dumps in the mining landscape of ostrava czech republic
  2016       no  the impacts of student and life satisfaction on tourism students perceived sense of belonging
  2019       no  şehir turizminde faaliyet gosteren otellere yonelik e yorumlarin incelenmesi eskisehir ili ornegi
  2020       no  the effects of consumer confusion on hotel brand loyalty an application of linguistic nonlinear regression model in the hospitality sector
  2021       no  the integration of social media into event tourism
  2018       no  review of strategic management studies on tourism
  2014       no  conflict management methods of managers an empirical study of the turkish tourism industry
  1997       no  the importance of topographic corrections on magnetotelluric response data from rugged regions of anatolia
  2020       no  travel and tourism competitiveness of economies around the world using rough swara and todim method
  2018       no  kulturel turizmin ekonomik sosyal ve cevresel etkilerine yonelik bir arastirma safranbolu ornegi a research on economic social and environmental impacts of cultural tourism safranbolu example
  2020       no  lisansustu turizm ogrencilerinin akademik gudulenme bilimsel arastirma ozyeterlilik ve arastirma yapmaya yonelik kaygilarinin degerlendirilmesi
  2019       no  traveling salesman problem with hotel selection comparative study of the alternative mathematical formulations
  2016       no  seyahatnamelere gore gerede bolu el sanatlari
  2012       no  the european customer satisfaction index model an application to the international hotel
  2020      YES  internet of things in tourism a proposal of the information system for cappadocia hot air ballooning
  2017       no  a study of domestic honeymoon tourism in turkey
  2017       no  usage of interactive technologies in tourism guidance education a research on educational institutions at the level of bachelor degree
  2015       no  competitive importance performance analysis cipa an illustration from thermal tourism destinations
  2016       no  kulturel kimliğin ve coğrafi işaretin turistik hediyelik eşyada kullanimi turkiye orneği
  2018       no  tourist route planning with a metaheuristic approach
  2019       no  cekirdek kapadokya bolgesinde atli doğa yuruyuşu faaliyetlerine katilan turistik tuketicilerin profilini belirlemeye yonelik bir calişma
  2011       no  a probabilistic approach to detect urban regions from remotely sensed images based on combination of local features
  2016       no  role of tour guides on tourist satisfaction level in guided tours and impact on re visiting intention a research in istanbul
  2019       no  the role and importance of rural tourism on the development and promotion of cultural heritage tourism
  2016       no  nomadic organization structure and mimetic isomorphism in tourism establishments focus on small enterprises in fethiye
  2015       no  turk turistlerin tatil satinalma surecinde alternatiflerin degerlendirilmesinde icsel bilginin rolu
  2019       no  determinants of hotel guests satisfaction from the perspective of online hotel reviewers
  2021       no  the effects of covid 19 on turkey s tourism economy an assessment within the scope of employment and tourism revenues
  2017       no  an analysis of publication bias in the travel tourism and hospitality research
  2019       no  turizm meslek lisesi ogrencilerinin demografik degiskenlerine gore mesleki baglilik duzeylerinin incelenmesi
  2014       no  determining the role of fluids near a slab window in central anatolia turkey by magnetotellurics method
  2021       no  11 eylul saldirilari ve 2008 ekonomik krizi ornekleri uzerinden teror ve ekonomik kriz olgularinin yumusak guc unsuru olarak turizme etkileri
  2009       no  an empirical analysis of the determinants of international tourism demand the case of izmir
  2014       no  turistlere yonelik teror saldirilarinin turizme etkisi turkiye uzerine ampirik bir calisma
  2019       no  gender discrimination in tourism industry
  2015       no  investigation of leisure activity assessment modes of the university students studying at school of physical education and sport
  2020       no  the relationships among nostalgic emotion destination images and tourist behaviors an empirical study of istanbul
  2017       no  neuromarketing aspect of tourism pricing psychology
  2015       no  the effect of corporate social responsibility csr perception on tourism students intention to work in sector
  2015       no  a miniature implantable microstrip antenna design for dual band biotelemetry operations
  2020       no  using ahp to prioritize barriers in developing medical tourism case of turkey
  2016       no  engelli musterilerin konaklama isletmelerine iliskin etik tutum ve beklentilerinin belirlenmesi
  2016       no  importance of tourism paradox tourism equinox and tourism detox for urban environments
  2009       no  a look for low season tourist profile antalya region of turkey example
  2017       no  mobil cagda mobil uygulamalar turkiye deki yerli otel zincirleri uzerine bir durum tespiti
  2020      YES  hotel recommendation system based on user profiles and collaborative filtering
  2017       no  tourism development and economic growth a panel granger causality analysis in the frequency domain
  2021       no  konya da faaliyet gosteren 5 yildizli otel yoneticilerinin gelir yonetimine bakislari
  2016       no  anti vaskuler endotelyal buyume faktor monoklonal antikoru bevasizumab in bobrek fonksiyonlari ve morfolojisi uzerine olan etkileri effects of bevacizumab an anti vascular endothelial growth factor monoclonal antibody on kidney function and morphology
  2015       no  kuresel duzeyde kulturel bir tanitim ve marka araci olarak turizm logolari
  2014       no  turizm sektorundeki kadin girişimcilerin bireysel değerlerinin demografik ozellikleri acisindan incelenmesi antalya ili orneği
  2020       no  the effect of freedom on international tourism demand empirical evidence from the top eight most visited countries
  2019       no  environmentally friendly behaviour of the tourists who uses hot air balloon and their attitude towards air pollution
  2016       no  saglik turizmi sozlesmesi
  2020       no  literary tourism as a field of research over the period 1997 2016
  2021       no  examining residents cultural intelligence place image and foreign tourist attractiveness a mediated moderation model of support for tourism development in cappadocia turkey
  2019       no  otel isgorenlerinin orgutsel dislanma algilarinin orgutsel sinizm duzeylerine etkisi bes yildizli otel isletmelerinde bir arastirma
  2020       no  kultur turizminin kadin girisimcilerin yaptiklari yeniliklere etkisi bogatepe koyu nun ornek vaka analizi ile incelenmesi
  2021       no  tourism sector and environmental quality evidence from top 20 tourist destinations
  2015       no  an examination of adolescents attitudes towards leisure activities
  2009       no  rfid based action tracking for measuring the impact of cultural events on tourism
  2011       no  analysis of the potential for ecotourism in golhisar district
  2003       no  market segmentation based on customers post purchase performance evaluation a case of tourist diners
  2011       no  profiling of english tourists visiting turkey based on attitudes toward internet use in vacation decision making
  2006       no  mohr circle based rotational invariants of a magnetotelluric data set from the thrace region of turkey geological implications
  2015       no  relationship of childhood headaches with preferences in leisure time activities depression anxiety and eating habits a population based cross sectional study
  2020       no  online yorumlarin faydali bulunma durumunun incelenmesi konaklama isletmeleri uzerine bir arastirma
  2018       no  is do it right the first time necessarily right the importance of error management culture in the hospitality industry
  2016       no  sakarya nin kongre turizmi pazari analizi yerel paydaslar uzerine bir arastirma
  2011       no  an integrated case based reasoning and mcdm system for web based tourism destination planning
  2014       no  dinleme davranisinin musterinin satin alma niyeti ve satin alma davranisina etkisi seyahat acentasi satis temsilcileri kapsaminda bir arastirma
  2006       no  perceived image of turkey by us citizen cultural tourists
  2011       no  employment of the workforce with disabilities in the hospitality industry
  2017       no  does tourism really affect the happiness of residents the evidence from turkey
  2021       no  cost optimization of the medical tourism market research project in poland and turkey
  2016       no  konaklama isletmelerinde calisanlarin musteri odakliliginin isgoren devrine etkisi is tatmininin aracilik rolu
  2016       no  reasons of choosing recreation management departments within the body of tourism faculties and expectations of students
  1987       no  visual quality assessment for recreation and tourism planning a case study of olympus national seashore in turkey
  2013       no  a fuzzy approach to urban ecotourism site selection based on an integrated promethee iii methodology
  2019       no  an assessment of slow cities as sustainable tourism tools in the context of historical urban landscape approach cases in turkey
  2018       no  workplace deviance and human resource management relations a case study of turkish hotel employees
  2014       no  turizm egitimiyle kazanilacak yetkinlikler yiyecek icecek musterisinin kalite beklentilerini karsiliyor mu
  2011       no  telemedicine and biotelemetry for e health systems
  2015       no  turizmin surdurulebilirligine yonelik yabanci turistlerin algi ve tutumlari marmaris ornegi
  2017       no  şehir pazarlamasi ve markalaşmasi kapsaminda yozgat ilinin turizm potansiyelinin değerlendirilmesi ve oneriler
  2019       no  what do tourists wonder about turkey s cultural heritage a study to determine frequently asked questions to tour guides
  2011       no  tourism and generation y
  2019       no  climate change vulnerability and resilience of tourism and the entire economy
  2020       no  self regulation and self efficacy as mediators of achievement goals and leisure time physical activity a proposed model
  2018      YES  classification performances of data mining clustering algorithms for remotely sensed multispectral image data
  2016       no  career paths of hotel general managers in turkey
  2019       no  intellectual structure of strategic management research in the hospitality management field a co citation analysis
  2016       no  institutionalisation of tourism research and education from the early 1900s to 2000s
  2012       no  socio cultural approaches to tourism a research on the tourist notion of young turkish people
  2021       no  alloprevotella rava isolated from a mixed infection of an elderly patient with chronic mandibular osteomyelitis mimicking oral squamous cell carcinoma
  2020       no  the effects of organizational support perception among tourism employees on job satisfaction the role of job crafting and work engagement
  2018       no  barriers and preferences to leisure activities for wheelchair users in historic places
  2006       no  linking scale of operation and labor transformation on tourism comparative analysis on three turkish cases
  2014       no  constraints on leisure time physical activity at a public university
  2015       no  effects of foreign demand increase in the tourism industry a cge approach to turkey
  1990       no  factors affecting international tourism demand for turkey
  2011       no  tourism research a 20 20 vision
  2019       no  determination of undergraduate students alienation levels the case of anadolu university tourism faculty
  2005       no  antimicrobial resistance and β lactamase production of clinical isolates of prevotella and porphyromonas species
  2009       no  the sensitivity of german and british tourists to news shocks
  2015       no  the importance of windsurf schools in tourism the case of alacati
  2011       no  emerging importance of institutional capacity for the growth of tourism clusters the case of antalya
  2020       no  organizational symbolism an overview of the tourism industry
  2005       no  the analysis of relation between socio cultural economic and tourism development levels of the provinces in turkey
  2009       no  leisure in the turkish context a preliminary account
  2016       no  2008 kuresel krizinin turizm istatistikleri uzerindeki etkisinin cok değişkenli istatistiksel teknikler ve topsis metodu ile analizi
  2016       no  turistik urun tuketicilerinin satin alma kararlarinda etnosentrik tutumlar baku de bir arastirma
  2018       no  the determination of consumer rights knowledge level of youth a research on the tourism and hotel management students
  2010       no  a long run equilibrium relationship between international tourism higher education and economic growth in northern cyprus
  2021      YES  fusion of remotely sensed infrared and visible images using shearlet transform and backtracking search algorithm
  2017       no  development of the marmarov remotely operated underwater vehicle system
  2001       no  retrofitting sbr systems to nutrient removal in sensitive tourist areas
  2019       no  turizm in sosyal politika islevi ve kirsal turizm turkiye ornegi
  2020       no  saglik turizminde turkiye nin onemi ve tercih edilme sebeplerinin belirlenmesine yonelik bir arastirma
  2016       no  surdurulebilir rekabetci ustunluk kaynagi olarak yenilik yetenegi bes yildizli konaklama isletmeleri uzerine bir arastirma
  2016       no  linkages among ecotourism landscape and natural resource management and livelihood diversification in the region of sugla lake turkey
  2017       no  turkish tourism exchange rates and income
  2019       no  konaklama isletmelerinde yesil yonetim uygulamalarinin entropi yontemi ile agirliklandirilmasi giresun ili ornegi
  2016       no  turizme hizmet sunan pastane isletmelerinde calisan dondurma uretim personelinin hijyen ve gida guvenligine iliskin bilgi ve uygulama duzeyi uzerine bir arastirma a research on knowledge and practice levels about food safety and hygiene of employees in
  2018       no  international tourism and economic growth in transition economies panel causality analysis with structural changes
  2010       no  work hours work intensity satisfactions and psychological well being among hotel managers in china
  2013       no  demografik degiskenlerin kariyer tatminine etkileri antalya da 5 yildizli otel isletmelerinde bir arastirma
  2019       no  imece kulturunun turizmde kullanimi bilecik kursunlu koyu
  2015       no  overview of voluntourism in turkey defining the experience of volunteers and their motivation
  2015       no  destinasyon marka imaji ve bir pazar bolumu olarak iş amacli gelen turistlere yonelik uygulanmasi
  2017       no  is tourism an engine for economic recovery theory and empirical evidence
  2014       no  leisure time marketing in the context of the entertainment industry
  2016       no  parents thoughts towards their children participation in swimming course as a leisure time activity a qualitative research
  2017       no  mobile advertising mobile advergame models for tourism marketing
  2013       no  life satisfaction leisure satisfaction and perceived freedom of park recreation participants
  2017       no  tourism education and internships a metaphor analysis
  2011       no  termal turizmde tuketici satin alma davranişini etkileyen faktorlerin belirlenmesi gonen orneği determination of the factors affecting consumer purchase behavior in thermal tourism
  2020       no  the relationship between organizational exclusion and the tourism industry
  2016       no  adaptation of hospitality service quality scales for marina services
  2020       no  anatomy of active volcanic edifice at the kusatsu shirane volcano japan by magnetotellurics hydrothermal implications for volcanic unrests
  2016       no  political tourism tourist revisited extending the concept in a developing country s point of view a thought provoking case from turkey
  2003       no  tourist profile research antalya region example 2001
  2021      YES  digital transformation and revenue management evidence from the hotel industry
  2015       no  security perceptions of the tourists visiting alanya according to their home country
  2009       no  land cover changes on the coastal zone of candarli bay turkey using remotely sensed data
  2019       no  lisans duzeyinde turizm egitimi alan ogrencilerin sosyal gorunus kaygisi ve benlik saygi duzeyleri arasindaki iliskinin incelenmesi
  2012       no  social participation in sustainable tourism development
  2016       no  sustainability reporting in the hospitality industry a research model proposal on sustainability performance
  2016       no  local gastronomy a tasty tourist attraction in turkey
  2017       no  a sustainable approach to social tourism development the case of izmir city
  2013       no  discrimination in job application forms of hospitality industry
  2019      YES  hotel recommendation system based on user profiles and collaborative filtering
  2002       no  cultural landscape for tourism
  2006       no  energy efficiency assessment for the antalya region hotels in turkey
  2017       no  combining visual and textual data for assessing destination image lake tourism example
  2013       no  canakkale ilinin termal turizm potansiyeli
  2013       no  turizm isletmelerinde orgut kulturu ve liderlik davranisi etkilesimi mugla ili nde bir arastirma
  2013       no  antecedents and consequences of work engagement among frontline employees in turkish hotels
  2013       no  testing the validity of the travel and tourism competitiveness index in the world economic forum with classical and fuzzy data envelopment analyses
  2021       no  intercultural competence in tourism and hospitality self efficacy beliefs and the dunning kruger effect
  2012       no  radon concentration in hot springs of the touristic city of sarein and methods to reduce radon in water
  2007       no  advancing destination competitiveness research comparison between tourists and service providers
  2012       no  the role of spatial planning for sustainable tourism development a theoretical model for turkey
  2014       no  bibliometric analysis of tourism and hospitality related articles published in turkey
  2019       no  the impact of tourism demand on tax revenues and bank loans in turkey
  2017       no  universite oğrencilerinin boş zamanlarini değerlendirme tercihleri selcuk universitesi turizm fakultesi orneği
  2015       no  segmentation of tourist using demographic and travel characteristics the case of istanbul
  2015       no  adana daki a grubu seyahat acentalarinin sorunlarini belirlemeye yonelik bir calisma
  2015       no  hotel workers examined in terms of demographic variables the perceptions of social wellbeing the example of antalya
  2013       no  analysis of security perceptions of foreign tourists the case of alanya
  2021       no  social entrepreneurship activities in the tourism sector bibliometric analysis and social network analysis
  2021       no  an empirical investigation of tourism led growth hypothesis in the european countries evidence from augmented mean group estimator
  2019       no  an analysis of turkish social studies textbooks in terms of cultural and natural heritage and tourism
  2008       no  predictors of burnout among middle managers in the turkish hospitality industry
  2016       no  green star symbol for environmental friendly facilities in hotels in the context of sustainable tourism a research in konya turkey
  2018       no  devam bagliligi presenteeism ve isten ayrilma niyeti arasindaki iliski bes yildizli otel isletmelerinde bir arastirma
  2014       no  turizm egitimi alan ogrencilerin kariyer secimine etki eden kariyer capalarinin belirlenmesine yonelik bir arastirma
  2006       no  a content analysis of repeaters self perceptions of tourist destinations
  2014       no  sosyal medyada konaklama isletmelerine yonelik tuketici yaklasimlari uzerine bir arastirma
  2016       no  turizm kumelenmesi uşak ili turizm kumelenme potansiyeli
  2019       no  plasmodium falciparum malaria in a tourist patient a case report
  2020       no  tea tourism and the importance of tea tourists guidance in india
  2014       no  eskisehir in biricik destinasyon onerisi endustriyel miras
  2014       no  green accounting applications in accommodation services as a part of sustainable tourism
  2009       no  the relationship between outsourcing and organizational performance is it myth or reality for the hotel sector
  2016       no  new toy of marketing communication in tourism gamification
  2015       no  anadolu universitesi turizm arastirma ve uygulama birimi nde 2010 2013 yillari arasinda gerceklestirilen faaliyetler uzerine degerlendirme
  2020       no  a content analysis on child friendly hotels as an emerging concept in tourism marketing
  2015       no  mugla ili milas ilcesinin kultur turizmi acisindan incelenmesi
  2016       no  musteri iliskileri yonetimi kapsaminda gizli musteri alisverisi zincir otel ornegi
  2016       no  swot analysis of safranbolu city in terms of tourism
  2005       no  antalya orman bolge mudurlugu nde av turizminin rekreasyonel arz talep yonunden incelenmesi
  2021       no  the path of least resistance explaining tourist mobility patterns in destination areas using airbnb data
  2016       no  awareness of turkish society about accessible tourism
  2020       no  the changing nature of psychological contract in the tourism industry importance of employability
  2016       no  tourism strategic and marketing planning and cultural cooperation channels between greece and turkey
  2021      YES  smart contracts in tourism industry a model with blockchain integration for post pandemic economy
  2014       no  health tourism and patient satisfaction in turkey the ankara example
  2020       no  yoneticilerin iskolik davranislarinin yasam doyumlarina etkisi konaklama isletmeleri ornegi
  2009       no  the role of climatic elements in public tendency towards alternative tourism a sample of turkey
  2020       no  estimating the effects of tourism growth on emission pollutants empirical evidence from a small island cyprus
  2012       no  factors affecting the e commerce adoption by small hotels a comparative case study
  2021       no  web based gis for managing and promoting tourism in sub saharan africa
  2014       no  the competitiveness of the european union tourism industry
  2011       no  gender diversity in the hospitality industry an empirical study in turkey
  2015       no  konaklama işletmelerinde algilanan orgut kultur tipinin calişanlarin sosyal kaytarma davranişlarini algilamasina etkisi uzerine bir araştirma
  2017       no  socio economic determinants of international tourism demand for turkey panel data analysis
  2021       no  the new gastronomic product dried and vacuumed rainbow trout roe
  2014       no  borsa istanbul da islem goren turizm şirketlerinin finansal performanslarinin gri iliskisel analiz yontemiyle olculmesi
  2020       no  renewable energy matters for tourism industry in brics plus turkey countries
  2021       no  investigating the tourism originating co 2 emissions in top 10 tourism induced countries evidence from tourism index
  2014       no  nâbi nin tuhfetu l harameyn adli seyahatnamesinin edebi kaynaklari
  2018       no  understanding religion based tourism terminology in the context of the hotel industry
  2021       no  economic impacts of the pandemic on tourism management in turkey the case of covid 19
  2020       no  comparisons of health tourism within the eu countries
  2017       no  turizm sektorunde antraktli calisma algisi antalya daki bes yildizli otel calisanlari acisindan bir degerlendirme
  2016       no  organik tarim tabanli eko turizm uygulamalarinin değerlendirilmesi candir koyu orneği
  2011       no  the analysis of the relationship among emotional intelligence organizational deviance quality of work life and turnover intentions in hospitality business
  2008       no  prevention of marine environment pollution at the tourism regions by the application of a simple method for the domestic wastewater
  2017       no  turizm oğrencilerinin inanc turizmine yonelik bakiş acilari
  2014       no  tourism development and economic growth in the mediterranean countries evidence from panel granger causality tests
  2017       no  rize ilinin turizm gostergelerinin yillara gore turkiye ile kiyaslanmasi 2009 2015
  2021       no  causal relationships among tourism international trade pollution and economic growth evidence from central asian countries
  2021      YES  otel oda fiyatlarini aciklamada makine ogrenmesi algoritmalarinin kiyaslanmasi
  2019       no  analysis of hotel services by their symmetric and asymmetric effects on overall customer satisfaction a comparison of market segments
  2016       no  un related variety urban milieu and tourism company differentiation
  2020       no  the impact of policy responses to covid 19 on u s travel and leisure companies
  2020       no  impact of restaurants in the development of gastronomic tourism
  2014       no  a high order seasonal fuzzy time series model and application to international tourism demand of turkey
  2008       no  reflections of country image on tourism a comparison between turkey and poland
  2017       no  el sanfara nin arap lamiyyesi şiiri ve colde seyahat etmenin korkunclugu
  2018       no  frequency domain causality analysis of tourism and economic activity in turkey
  2017       no  a monument for turkish hospitality the staging of ahrida synagogue
  2018       no  strategies of high school students to cope with stress through leisure time
  2010       no  measuring destination competitiveness an application of the travel and tourism competitiveness index 2007
  2015       no  the economic contribution of turkish tourism entrepreneurship on the development of tourism movements in islamic countries
  2016       no  strategic branding in hospitality case of accor hotels
  2014       no  does the importance of hotel attributes differ for senior tourists a comparison of three markets
  2021       no  slow food justice and tourism tracing karakilcik bread in seferihisar turkey
  2021       no  the psychological impact of the covid 19 pandemic on tourism a qualitative study
  2017       no  surdurulebilir turizm de konaklama işletmeleri calişanlarinin iletişim becerilerinin değerlendirilmesi
  2019       no  examining effects of service quality and hotel image on customer satisfaction from the perspective of consumption motivations
  2019       no  factors affecting the choice of medical tourism destination a case study of medical tourists from the arab region in turkey
  2016       no  gaining ghost town of tourism economics northern cyprus varosha city
  2015       no  yesil bankacilik ve yesil krediler antalya daki 4 5 yildizli otel isletmelerinin bakis acilari uzerine bir arastirma
  2015       no  a study into the level of first aid of hotel employees
  2007       no  new technologies to assist training in hospitality sector
  2021       no  comparative analysis of residents attitudes toward sustainable tourism development using a multi criteria decision making technique
  2021      YES  dijital seyahat aracilarinda e musteri tatmini ve e şikayetlere yonelik bir icerik analizi
  2017       no  turkey s tourism policies in the period of planned development
  2018       no  evaluation of stakeholders expectations towards congress tourism by kano model case of nevsehir
  2020       no  rekreasyonel balikcilik turizmi kusadasi didim ve didim akbuk ornegi
  2014       no  a case study on defining leisure time motivation of recreation students
  2013       no  analysis of antalya tourism cluster perceived performance with structural equation model
  2016       no  a research on enterprising tendencies of undergraduate tourism students the case of sakarya university
  2016       no  the relationship between strategic decision making and leadership styles an application in 4 and 5 star hotels in istanbul
  2021       no  geothermal potential of the eastern end of the gediz basin western anatolia turkey revealed by three dimensional inversion of magnetotelluric data
  2010       no  role of the demographic factors in the process of hotel information systems adoption
  2011       no  design and realization of ultra wide band implant antenna for biotelemetry systems
